Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Return to top.||||ita||P||N||||
Italian American Federation of the East Bay Columbus Celebration|Oakland, CA|1979||ita|eng,ita,|P||N||||
Italian American Review|Brooklyn, NY|1967, 1976||ita|eng,ita,|P||N||||
Italian American Review|New York, NY|1921-1922||ita|eng,ita,|P||N||||
Italian Americana|Buffalo, NY|1975-1976, 1979, 1981||ita|eng,ita,|P||N||||
Italian Canadiana|Toronto, Ontario, Canada|1985||ita|eng,fre,ita,|P||N||||
Italian Chamber of Commerce Bulletin|Chicago, IL|1957-1959, 1968-1970; microfilm: 1908-1921||ita|eng,ita,|M||N||||
Italian Chamber of Commerce Almanac|New York, NY|1932-1933||ita|eng,ita,|P||N||||
Italian Cultural Society|Sacramento, CA|1982, 1985||ita|eng,ita,|P||N||||
Italian Culture Council|Inc|1965-1972||ita|eng,ita,|P||N||||
Italian Heritage Newsletter|Rowayton, CT|1969-1975||ita|eng,ita,|P||N||||
Italian Intercollegiate Review|New York, NY|1923||ita|eng,ita,|P||N||||
Italian Monthly |New York, NY|1978-1980||ita|eng,ita,|P||N|||previously titled Canale Tre|
The Italian Times|Milwaukee, WI|1979, 1982||ita|eng,ita,|P||N||||
The Italian Professional Man|New York, NY|1937-1938||ita|eng,ita,|P||N||||
Italian Social Science Center Newsletter|Flushing, NY|1973||ita|eng,ita,|P||N||||
Return to top.||||ita||P||N||||
The Italian Young Folks League of America Bulletin|Brooklyn, NY|1925-1933||ita|eng,ita,|P||N||||
Italiani nel Mondo |Rome, Italy|1945-1953, 1969||ita|ita,eng|P||N|||Italians in the World|
Italica Gens |Turin, Italy|1910-1916||ita|eng|P||N|||Italic People|
L'Italico |Portland, OR|1913||ita|eng|P||N|||The Italic|
Italo American National Union |Mount Morris, IL|1967||ita|eng,|P||N|||I.A.N.U.|
Italo American National Union Newsletter|Melrose Park, IL (previously published in Chicago, IL)|1978-1985||ita|eng,|P||N||||
Italo Canadian Commercial Directory|Toronto, Ontario, Canada|1967||ita|eng,|P||N||||
Italy. Commisariato dell'Emigrazione. Bolletino dell'Emigrazione |Rome, Italy|1902-1927); microfilm: 1902-1927||ita|eng|M||N|||Office of the Commissioner of Emigration. Emigration Bulletin|
Italy. Ministero degli Affari Esteri. Direzione Generale dell'Emigrazione. Notiziario dell'Emigrazione |Rome, Italy|||ita|eng|P||N|||Ministry of Foreign Affairs. General Directorate of Emigration. Emigration News|
Italy. Ufficio Centrale per l'Emigrazione Italiana Bollettino |Rome, Italy|1968||ita|ita,eng|P||N|||Bulletin of the Central Office for Italian Emigration|
Italy America Monthly|New York, NY|1934-1935||ita|eng,|P||N||||
Italy and Us|Washington, DC|1979-1980||ita|eng,|P||N||||
Italy Italy|Long Island City, NY|1984||ita|eng,|P||N||||
Joint Civic Committee of Italian Americans Update |Chicago, IL|1975-1980, 1982-1983||ita|eng,ita,|P||N|||previously titled Joint Civic Committee of Italian Americans Newsletter|
Journal of Italian History|Firenze, Vallecchi, 1978-1979|||ita|ita,|P||N||||
Justinian Law Journal|Chicago, IL|1964-1974, 1976-1978||ita|eng,|P||N||||
Return to top.||||ita||P||N||||
Know Canada |Ontario, Canada|1984||ita|eng,|P||N|||Conoscere Il Canada|
Lantern|Boston, MA|1929||ita|eng,|P||N||||
Il Lavoratore Industriale |San Francisco, CA|1912); microfilm: 1912||ita|fre,eng|M||N|||The Industrial Worker|
Lavoro |New York, NY|1956||ita|ita,eng|P||N|||Labor; American Italian Labor Alliance|
