Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
National Slovak Society of the U.S.A. Zápisnica Pol-Rocnej Schôdze Hlavného Odboru |Pittsburgh, PA|1936, 1955, 1959, 1963, 1969||slo|eng,slo,|P||N|||Minutes of the Semi-Annual Meeting of the Supreme Branch|
National Slovak Society of the U.S.A. Zápisnice Riadnej Konvencie |Pittsburgh, PA|1901, 1903, 1906, 1913, 1916, 1919, 1923, 1926, 1930, 1937, 1941, 1946, 1950, 1954, 1958, 1970||slo|eng,slo,|P||N|||Minutes of the Regular Convention|
National Slovak Society of the U.S.A. Zápisnice Rocnej Schôdze Hlavného Odboru |Pittsburgh, PA|1896, 1898-1900, 1904, 1905, 1907-1908, 1910, 1912, 1914-1915, 1917-1918, 1920-1922, 1924-1925, 1927-1929, 1931-1932, 1935-1937, 1939-1946, 1948-1951, 1953-1955, 1957-1958, 1962-1963, 1970-1971||slo|slo,eng|P||N|||Minutes of the Annual Meeting of the Supreme Branch|
National Slovak Society of the U.S.A. Zprávy Úradníkov |Pittsburgh, PA|1946, 1954, 1958, 1962, 1966||slo|eng,slo,|P||N|||Officers' Report|
Nové Slovensko |Pittsburgh, PA|1921-1922||slo|slo,eng|P||N|||New Slovakland|
Obeznik Slovenskeho Priekopnika |Montreal, Quebec, Canada|||slo|slo,eng|P||N|||Circular of the Slovak Pioneer|
Obrana; Národný Kalendár |Scranton, PA|1922||slo|eng|P||N|||Defense; National Calendar|
Pennsylvania Slovak Catholic Union Zápisnica Konvencie |Wilkes-Barre, PA|1925, 1927, 1929, 1932, 1935, 1938, 1941, 1946, 1950, 1954, 1958, 1962, 1966||slo|eng,slo,|P||N|||Convention Minutes|
Pennsylvania Slovak Catholic Union Zprávy Hlavných Úradnikov |Wilkes-Barre, PA|1946, 1950, 1954, 1958, 1962, 1966, 1970||slo|eng,slo,|P||N|||Report of the Supreme Officers|
Pravda; Nábozenský Evanj-Luteránskeho Smeru Mesacnik |Monthly: 1921|1921||slo|eng|P||N|||The Truth; The Religious Evangelical-Lutheran Monthly Guide|
Prehl'ad |Middletown, PA|1917-1918||slo|eng|P||N|||General View|
Rím; Slovenský Kultúry Casopis |Rome, Italy|1949-1953||slo|slo,eng|P||N|||Rome; Slovak Cultural Magazine|
Robotnícky Kalendár |Chicago, IL|1921||slo|eng|P||N|||Workers Calendar|
Rozhl'ady |New York, NY|1956-1959||slo|slo,eng|P||N|||Perspective; Independent Political Review; Slovak Study Center|
Rozvoj |Montreal, Quebec, Canada/Lauvain, Belgium|1949-1950, 1952||slo|eng|P||N|||Development|
St.Benedict Post No.381|Catholic War Veterans of the USA Newsletter, Cleveland, OH (1948 - 1993 (microfilm)|||slo||M||N||||
St. Procopius College Academy Announcements|Lisle, IL|1937-1941||slo|eng,|P||N||||
Sborník Slovenského Katolíckeho Sokola |Passaic, NJ|1913, 1916, 1920, 1922, 1924-1934, 1936, 1940-1946, 1949-1950, 1957, 1960||slo|eng,slo,|P||N|||Slovak Catholic Sokol Almanac|
Severov; Slovenský Kalendár a Domáci Lekár |Cedar Rapids, IA|1926||slo|slo,eng|P||N|||North; Slovak Calendar and Domestic Doctor|
The Shepherd|Whiting, IN|1934||slo|eng,|P||N||||
Sion |Pittsburgh, PA|1971-1972||slo|eng,|P||N|||Zion|
Sion Evanjelický Kalendár |Cleveland, OH|1911-1924, 1951||slo|eng|P||N|||Zion Evangelical Calendar|
Slobodné Slovensko |Ludwigsburg, West Germany|1947-1950||slo|ger,slo,eng|P||N|||Free Slovakia|
Slováci v Zahranici |Martin, Czechoslovakia|1971, 1974, 1980-1983||slo|eng,cze,slo,|P||N|||Slovaks in Foreign Countries|
Slovák; Casopis Slovákov V Cudzine |London, England|1952||slo|eng,slo,|P||N|||Slovak; Magazine for Slovaks in Foreign Lands|
Slovák a Svet; Vol'né Novinárske Listy |Chicago/Skokie, IL|1971-1972||slo|slo,eng|P||N|||The Slovak and the World; Free Journalistic Letters|
Slovak Catholic Sokol Supreme Assembly Zápisnica Rocnej Schôdze |Cleveland, OH|1931-1934, 1937, 1945-1947, 1950-1951, 1956, 1959, 1967, 1973||slo|eng,slo,|P||N|||Minutes of the Annual Meeting|
Slovak Digest|New York, NY|1946||slo|eng,slo,|P||N||||
Slovak Evangelical Lutheran Synod of the U.S.A. Zápisnica |Pittsburgh PA (?)|1933, 1935||slo|slo,eng|P||N|||Minutes|
Slovak Heritage|Detroit, MI|1977-1979||slo|eng,slo,|P||N||||
Slovak Heritage Association|San Diego, CA|1984||slo|eng,slo,|P||N||||
Slovak Information Service|Detroit, MI|1979-1980||slo|eng,slo,|P||N||||
Slovak National Council Abroad Bulletin|Middletown, PA (previously published in New York, NY)|1955-1958||slo|eng,slo,|P||N||||
Slovak Newsletter|Middletown, PA|1949-1958||slo|eng,slo,|P||N||||
Slovak Press Digest|New York, NY|1968-1972, 1974-1978, 1983||slo|eng,slo,|P||N||||
Slovak Review|Scranton, PA|1946-1947||slo|eng,slo,|P||N||||
Slovak Studies|Cleveland, OH/Rome, Italy|1961, 1963-1964, 1966-1981||slo|eng,slo,|P||N||||
Slovak Studies Association Newsletter|Philadelphia, PA|1978-1982, 1985||slo|eng,slo,|P||N||||
Slovak World Congress Bulletin|New York, NY|||slo|slo,|P||N||||
Slovakia|Middletown, PA|1951-1984||slo|eng,slo,|P||N||||
Slovakia|New York, NY|1938||slo|slo,|P||N||||
Slovakian|Ottawa, Ontario, Canada|1949||slo|eng,slo,|P||N||||
Slovenka |Chicago, IL|1940||slo|slo,eng|P||N|||Slovak Woman|
Slovenská Jednota; Orgán Strany Narodnej Jednoty |Aurolzmünster, Austria|||slo|slo,eng|P||N|||Slovak Unity; Organ of National Unity|
Slovenská Mládez |Pittsburgh, PA|1917, 1919||slo|eng,slo,|P||N|||Slovak Youth|
Slovenská Národná Bibliografia |Bratislava, Czechoslovakia|1975-date (?)||slo|cze,slo,eng|P||N|||Slovak National Bibliography|
Slovenská Národná Bibliografia |Martin, Czechoslovakia|1983-1984||slo|cze,slo,eng|P||N|||Slovak National Bibliography|
Slovenská Národná Bibliografia. Series B-J |Martin, Czechoslovakia|1983-1984||slo|cze,slo,eng|P||N|||Slovak National Bibliography|
Slovenská Ozvena z Venezuely |Caracas, Venezuela|1952-1953||slo|slo,eng|P||N|||Slovak Echo from Venezuela|
Slovenské Pohl'ady |Bratislava, Czechoslovakia (previously published in Turciansky Sv|1881-1886, 1890-1901, 1903-1906, 1912, 1914, 1922-1940, 1947, 1964||slo|cze,slo,eng|P||N|||Slovak Views|
Slovenskí Jezuiti v Kanade Yearbook |Cambridge, Ontario, Canada|1956-1972, 1974-1979, 1981||slo|slo,eng|P||N|||Slovak Jesuits of Canada|
Slovensko |Turciansky Sv|1934-1938||slo|cze,slo,eng|P||N|||Slovakia|
Slovensko-Americký Vreckový Kalendár |Scranton, PA (previously published in New York, NY)|1918, 1926||slo|slo,eng|P||N|||Slovak-American Pocket Calendar|
Slovenský Evanjelický Kalendár |Pittsburgh, PA|1920, 1922, 1924-1927, 1929, 1935||slo|slo,eng|P||N|||Slovak Evangelical [Lutheran] Calendar|
Slovenský Kalendár pre Juznu Ameriku |Buenos Aires, Argentina|1935||slo|slo,eng|P||N|||Slovak Calendar for South America|
Slovenský Národ; Slovenský Literárny Casopis |Schenectady, NY|1925-1926||slo|slo,eng|P||N|||Slovak Nation; Slovak Literary Magazine|
Slovenský Národopis |Bratislava, Czechoslovakia|1975||slo|ukr,ger,cze,slo,eng|P||N|||Slovak Ethnography|
Slovenský Sokol |East Orange, NJ|1907-1964); microfilm: 1907-1964||slo|eng,slo,|M||N|||Sokol Times; Official Publication of the Slovak Gymnastic Union Sokol|
Slovenský Zpravodaj |Salzburg, Austria|1950-1951||slo|slo,eng|P||N|||Slovak Correspondent|
Slowakei |Munich/Cologne, West Germany|1968-1969, 1975-1978, 1981, 1983-1985||slo|ger,slo,eng|P||N|||Slovakia|
Slowakische Rundschau; Zeitschrift für Politik|Wirtschaft und Kultur (Slovakian Review; Newspaper for Politics, Economy, and Culture), Bratislava, Czechoslovakia|1941||slo|ger,cze,slo,|P||N||||
Sokolský Sborník |Perth Amboy, NJ|1921, 1926, 1928||slo|eng|P||N|||Sokol Almanac|
Stít |Sydney, Australia|1952||slo|eng|P||N|||The Shield|
Stráz |Palmyra, PA|1938||slo|eng|P||N|||Sentinel|
Studia Historica Slovaca |History Institute), Bratislava, Czechoslovakia|1964-1969||slo|eng,ukr,fre,ger,cze,slo,|P||N|||Slovak Historical Studies; Slovak Academy of Sciences|
Svätá Rodina; Casopis k Úcte Sv. Rodiny Nazaretskej a k Ochrane Rodín Krestanských |Arvanagyfalu, Hungary|1909, 1914-1915||slo|eng|P||N|||The Holy Family; Magazine for the Teaching of the Holy Nazareth Family and for the Protection of Christian Families|
Svedok |Pittsburgh, PA|1910-1917, 1920-1931, 1935-1938, 1940-1956, 1958-1961, 1963, 1965-1966, 1968-date||slo|eng|P||N|||The Witness|
Tovarystvo; Sborník Literárnych Prác |Ruzomberok, Czechoslovakia|1893, 1895||slo|cze,eng|P||N|||Merchandising; Literary Journal of Work|
Tranovský Evanjelický Kalendár |Liptovský Mikulás, Czechoslovakia|1907, 1924, 1928||slo|cze,eng|P||N|||Tranova Evangelical Calendar|
Udalosti Sveta |Hazelton, PA|1917-1918||slo|eng|P||N|||World's Events|
Vatra; Casopis pre Slovákov v Exile |London, England|1951||slo|slo,eng|P||N|||Blaze; Magazine for Slovaks in Exile|
Viestnik; Slovenský Týzdennik |Chicago, IL|1917||slo|slo,eng|P||N|||Guide; Slovak Weekly|
Vsenárodný Kalendár |New York, NY|1942-1944||slo|eng|P||N|||National Calendar|
Výber z Katolíckej Svetovej Tlace |Buenos Aires, Argentina|1950-1951||slo|eng|P||N|||Selection from Catholic World Presses|
Za Pravdu Jánosika; Casopis Slovenskych Pacientov v Gautingu |Gauting, West Germany|1953||slo|ger,slo,eng|P||N|||For the Truth about Janosik; Slovak Magazine of Patients in Gauting|
Zion Beacon|Chicago, IL|1933-1936||slo|eng,|P||N||||
Zivena; Official Organ of the ðivena Beneficial Society|Pittsburgh, PA/Chicago, IL|||slo|eng,|P||N||||
