Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
L'Italia Libera |New York, NY|1943, 1945-1946||ita|eng|P||N|||Free Italy|
L'Italia Nostra |Brooklyn, NY|1915-1916); microfilm: 1915-1916||ita|eng|M||N|||Our Italy|
Italian-American Digest|New Orleans, LA|1981-1982||ita|eng,ita,|P||N||||
The Italian Bulletin|Hartford, CT|1978, 1980-1981||ita|eng,ita,|P||N||||
The Italian News|Boston, MA|1921-1923, 1925-1965||ita|eng,ita,|P||N||||
The Italian Observer|Rome, Italy|1948||ita|eng,ita,|P||N||||
Italian Press|Utica, NY|1930-1931); microfilm: 1930-1931||ita|eng,ita,|M||N||||
The Italian Times|Milwaukee, WI|1979-1980, 1982-1984, 1986-date||ita|eng,ita,|P||N||||
Italian Tribune News |NJ|1941-1957, 1965-1974||ita|eng,ita,|P||N|||previously titled Italian Tribune|
The Italian Tribune of America |Detroit, MI|1965-1970||ita|eng,ita,|P||N|||previously titled La Tribuna Italiana de America|
The Italian Weekly|Rochester, NY|1947-1949||ita|ita,|P||N||||
L'Italiano |Denver, CO|1912||ita|ita,eng|P||N|||The Italian|
L'Italo-Americano |New Orleans, LA|1899); microfilm: 1899||ita|eng,ita,|M||N|||The Italian American|
L'Italo-Americano |San Francisco, CA|1957, 1959, 1962-1965, 1967-1970, 1974, 1978-1980, 1982-date||ita|ita,eng|P||N|||The Italian American; merged with L'Eco d'Italia|
Italo-American Times|Bronx, NY|1964-1977||ita|eng,|P||N||||
Il Lavoratore |Chicago, IL|1924; microfilm: 1924-1925||ita|eng|M||N|||The Worker|
Il Lavoratore |New York, NY|1924-1927||ita|eng|P||N|||The Worker|
Il Lavoratore |Toronto, Ontario, Canada|1935-1938); microfilm: 1935-1938||ita|eng|M||N|||The Worker|
Il Lavoratore del Mare |New York, NY|1945-1946||ita|eng|P||N|||The Seaman|
Il Lavoratore Italiano |Pittsburg, KS|1908-1909; microfilm: 1906-1928||ita|ita,eng|M||N|||The Italian Worker|
Il Lavoratore Italiano |Trinidad, CO|1904||ita|ita,eng|P||N|||The Italian Worker|
Return to Top ||||ita||P||N||||
Il Lavoro |New York, NY|1922-1924; microfilm: 1917-1932||ita|eng|M||N|||Labor|
La Legione |New York, NY|1942-1943||ita|eng|P||N|||The Legion|
Il Leone |San Francisco, CA|1969-1978; microfilm: 1929-1930, 1932, 1934-1988||ita|eng|M||N|||The Lion|
La Libera Parola |Philadelphia, PA|1923, 1940-1941, 1945-1949||ita|eng,|P||N|||Free Word|
Il Libertario |La Spezia, Italy|1903, 1905; microfilm: 1903||ita|eng|M||N|||The Libertarian|
The Lion's Roar|Cleveland, OH|1974-1986||ita|eng,|P||N||||
La Lotta |New York, NY|1909; microfilm: 1909||ita|eng|M||N|||The Struggle|
Lotta di Classe |New York, NY|1927; microfilm: 1912, 1914-1918||ita|eng|M||N|||Class Struggle|
La Luce |Utica, NY|La Luce Il Pensiero), Utica, NY; microfilm: 1901-1921||ita|eng|M||N|||The Light; title varies: La Luce Il Pensiero|
Le Madonie|Castelbuono, Italy|1950-1953||ita||P||N||||
Il Martello |New York, NY|Jan||ita|eng|M||N|||The Hammer|
Mastro Paolo |Philadelphia, PA|1903); microfilm: 1903||ita|eng|M||N|||Master Paolo|
Il Messaggero |Utica, NY|1925||ita|eng|P||N|||The Messenger|
Il Messaggiero dell'Ordine |Utica, NY|1936-1948); microfilm: 1936-1948||ita|eng|M||N|||The Messenger|
The Messenger |Il Messaggero), Kansas City, KS|1926-1965); microfilm: 1926-1965||ita|eng,|M||N|||previously titled Il Piccolo Messaggero|
Il Minatore Italiano |Laurium and Calumet, MI|1915-1916); microfilm: 1915-1916||ita|ita,eng|M||N|||The Italian Miner|
Il Mondo |New York, NY|1941||ita|eng,|P||N|||The World|
Il Movimento |Chicago, IL |1916); microfilm: 1916||ita|eng|M||N|||The Movement|
Nazioni Unite |New York, NY|1940, 1943-1946||ita|eng,|P||N|||The United Nations|
Northwest Italian News|Seattle, WA|1970-1971, 1973, 1977-1988; microfilm: 1961-1988||ita|eng,ita,|M||N||||
La Notizia |Boston, MA|1950; microfilm: 1916-1918||ita|eng|M||N|||The News|
La Nuova Capitale |Trenton, NJ|1969-1975||ita|eng|P||N|||The New Capital|
Il Nuovo Mondo |New York, NY|1927, 1931||ita|eng|P||N|||The New World|
Il Nuovo Vessillo |New York, NY|1923, 1925, 1944||ita|eng|P||N|||The New Flag|
'O Scugnizzo |New York, NY|1938||ita|eng|P||N|||Little Rascal|
L'Operaia |New York, NY|1913-1919); microfilm: 1913-1919||ita|eng|M||N|||The Working Woman|
L'Operaio Italiano |Paris, France|1935-1936, 1938-1939||ita|ita,eng|P||N|||The Italian Worker|
L'Opinione della Domenica |Philadelphia, PA|1916-1918); microfilm: 1916-1918||ita|eng|M||N|||The Sunday Opinion|
Ordine Figli d'Italia in America Bollettino Ufficiale |New York, NY|1916-1917; microfilm: 1918, 1920||ita|eng|M||N|||Official Bulletin of the Order Sons of Italy in America; changed to magazine format in 1922|
Ordine Nuovo |New York, NY|1941||ita|eng,|P||N|||The New Order|
Ordine Nuovo |Philadelphia, PA|1936-1941, 1946-1947, 1957||ita|eng|P||N|||The New Order|
OSIA News |Order Sons of Italy in America), Webster and Worcester, MA|1948, 1952, 1972-1988; microfilm: 1947-1971||ita|eng,|M||N|||official organ of the Supreme Lodge|
Il Paese |Philadelphia, PA|1939-1940||ita|eng|P||N|||The Country|
La Parola |New York, NY (previously published in Chicago, IL)|1922, 1933, 1936, 1938-1940||ita|eng|P||N|||The Word; title changes to La Parola del Popolo (The Word of the People|
La Parola degli Italiani in America |Los Angeles, CA|1938, 1940-1941||ita|ita,eng|P||N|||The Word of the Italians in America|
La Parola dei Socialisti |Chicago, IL|1908-1911, 1913||ita|eng|P||N|||The Socialists' Word|
La Parola Proletaria |Chicago, IL|1916-1917); microfilm: 1916-1917||ita|eng|M||N|||The Proletarian Word|
Il Pensiero |St|1926, 1929, 1933, 1943, 1947, 1952, 1974-date||ita|eng,|P||N|||The Thought|
Il Pensiero Italiano |1927), Utica, NY|1914-1929); microfilm: 1914-1929||ita|eng,ita,|M||N|||Italian Thought; title changes to La Colonia|
La Plebe |Philadelphia, PA|1907-1908); microfilm: 1907-1908||ita|eng|M||N|||The Populace|
Il Popolo |New York, NY|1922, 1938||ita|eng,|P||N|||The People|
Il Popolo |Philadelphia, PA|1905-1906; microfilm: 1905-1906||ita|ita,eng|M||N|||The People; Italian Independent Newspaper|
Il Popolo Italiano |Atlantic City, NJ (previously published in Philadelphia,� PA)|1939, 1947, 1958, 1963-1966, 1969-date||ita|eng,ita,|P||N|||The Italian People|
Post Gazette |Boston, MA|1903-1905, 1907-1911, 1915-1960); microfilm: 1903-1905, 1907-1911, 1915-1960||ita|eng,|M||N|||supersedes La Gazetta del Massachusetts|
Il Progresso Italo-Americano |New York, NY|1915-1930, 1932-1934, 1943, 1947-1951, 1961, 1965-1966, 1969-1977, 1979, 1981-1982||ita|ita,eng|P||N|||Italian-American Progress|
Il Proletario |Boston, MA|1918); microfilm: 1918||ita|eng|M||N|||The Proletarian|
Il Proletario |Chicago, IL (previously published in New York, NY)|La Difesa; Il Nuovo Proletario), Chicago, IL (previously published in New York, NY); microfilm: 1899-1946||ita|eng|M||N|||The Proletarian; title varies: La Difesa; Il Nuovo Proletario|
Return to Top ||||ita||P||N||||
La Propaganda |Chicago, IL|1908); microfilm: 1908||ita|eng|M||N|||Propaganda|
La Questione Sociale |Paterson, NJ|1895-1916); microfilm: 1895-1916||ita|eng|M||N|||The Social Question|
Il Ribelle |New York, NY|||ita|eng|P||N|||The Rebel|
Il Rinnovamento |Nyack, NY|1925||ita|eng|P||N|||The Renewal|
Il Riscatto |Chicago, IL|1914); microfilm: 1914||ita|eng|M||N|||Redemption|
Il Risveglio |Denver, CO|1906-1911, 1914-1915, 1917, 1920-1924, 1927-1936, 1938-1939, 1941, 1949; microfilm: 1915-1917||ita|eng|M||N|||The Awakening|
Il Risveglio |Dunkirk, NY|1935-1938||ita|eng|P||N|||The Awakening|
Roma |Denver, CO|1908-1910, 1913-1915, 1921||ita|eng|P||N|||Rome|
La Scopa |Paterson, NJ|1926-1928); microfilm: 1926-1928||ita|eng|M||N|||The Broom|
Secolo Nuovo |San Francisco, CA|1903); microfilm: 1903||ita|eng|M||N|||New Century|
La Sentinella |Bridgeport, CT|1940, 1947||ita|eng|P||N|||The Sentry|
Il Sole |Toronto, Ontario, Canada|1970||ita|eng|P||N|||The Sun|
Il Sole Illustrato |Toronto, Ontario, Canada|1970||ita|eng|P||N|||The Illustrated Sun; merger of Il Sole and Corriere Illustrato|
Sons of Italy Herald|Cherry Hill, NJ|1974, 1976-1977, 1980-1988||ita|eng,|P||N||||
Sons of Italy News|Boston, MA|1929||ita||P||N||||
Sons of Italy Times|Philadelphia, PA|1964-date; microfilm: 1960-1965, 1967-1974||ita|eng,|M||N||||
La Stampa |Salt Lake City, UT|1926||ita|eng,|P||N|||The Press|
La Stampa Libera |New York, NY|1931-1938||ita|eng|P||N|||The Free Press|
La Stampa Unita |Rochester, NY|1923-1933); microfilm: 1923-1933||ita|eng|M||N|||The United Press|
La Stella |Utica, NY|1932-1933); microfilm: 1932-1933||ita|eng,|M||N|||The Star|
Sunshine News|St|1971, 1973-1974, 1981||ita|eng,|P||N||||
