Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Proroczeskoe Svitlo |Proctor, VT|1921-1953; microfilm: 1921-1953||sla|eng|M||N|||The Prophetic Light|
Rusin-Ruthenian|New York, NY|1952-1960); microfilm: 1952-1960||sla|eng,|M||N||||
Russki Pravoslavny Kalendar' |Pittsburgh, PA|1929, 1931-1932,  1934, 1941; microfilm: 1929, 1931, 1934||sla|eng,|M||N|||Russian Orthodox Calendar|
Russko-Amerikanski Pravoslavny Kalendar' |Wilkes-Barre, PA|1906, 1910(?), 1912, 1914-1917, 1921-1923, 1925-1927,  1929-1930, 1932-1933, 1937, 1947, 1950); microfilm: 1906, 1910(?), 1912, 1914-1917, 1921-1923, 1925-1927,  1929-1930, 1932-1933, 1937, 1947, 1950||sla|eng,|M||N|||Russian American Orthodox Calendar|
Rusyny Newsletter|McKeesport, PA|1980||sla|eng,|P||N||||
The Seminarian|Johnstown, PA|1969, 1971-1972, 1974||sla|eng,|P||N||||
Slovo k Narodu |Pittsburgh, PA|1943-1944); microfilm: 1943-1944||sla|eng,|M||N|||A Word to the People|
Svit D'itej |Homestead, PA|1921-1973); microfilm: 1921-1973||sla|eng,|M||N|||Children's World|
Svoboda |New York, NY|1944; microfilm: 1944||sla|eng|M||N|||Liberty|
Svobodnoe Slovo Rusi |Mt|Svobodnoe Slovo; Svobodnoe Slovo Karpatskoi  Rusi), Mt; microfilm: 1959-1964||sla|eng|M||N|||Free  Word of Rus'; title varies: Svobodnoe Slovo; Svobodnoe Slovo Karpatskoi  Rusi|
Ucitel' |McKeesport, PA|1932); microfilm: 1932||sla|eng,|M||N|||Educator|
UROBA Messenger |Pittsburgh, PA|||sla|eng,|P||N|||United Russian Orthodox Brotherhood of America|
Vecherni  Zvon |Chicago, IL (Northfield, CT)|1958, 1960||sla|eng|P||N|||Evening Bells|
Visnyk Karpats'koho Soiuza |New York, NY|Carpathian Alliance), New York, NY; microfilm: 1970-1973||sla|eng|M||N|||Bulletin: Carpathian Alliance|
The Voice of Mount St. Macrina|Uniontown, PA|1948-1977); microfilm: 1948-1977||sla|eng,|M||N||||
Vozhd' |Lakewood, OH|1929-1930); microfilm: 1929-1930||sla|eng,|M||N|||Leader|
