Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Domoljub; Vestnik Slovenske Ljudske Stranke |Washington, DC|1956-1957||slv|slv,eng|P||N|||Patriot; The Herald of the Slovenian Popular Party|
Domovina; Glasilo Slovenske Demokratske Stranke |Napa, CA|1951-1952||slv|slv,eng|P||N|||Homeland; Organ of the Slovenian Democratic Party|
Druzinski Koledar |Ljubljana, Yugoslavia|1913||slv|eng|P||N|||Family Calendar|
Glasilo Slovenske Narodne Podporne Jednote |Chicago, IL|1908||slv|eng|P||N|||Organ of the Slovene National Benefit Society|
Return to Top||||slv||P||N||||
Glasnik Presvetega Srca Jezusovega |Chicago, IL|1920-1922||slv|eng|P||N|||Herald of the Sacred Heart of Jesus|
Goriska Matica Koledar |Gorizia, Yugoslavia|1924||slv|eng|P||N|||Gorica Organization Calendar|
Grand Carniolian Slovenian Catholic Union of the United States of America|Amendments and Supplements to the Constitution and By-Laws, Joliet, IL|1942||slv|slv,|P||N||||
Grand Carniolian Slovenian Catholic Union of the United States of America Constitution and By-Laws|Cleveland, OH|1894, 1905, 1907, 1909, 1911, 1926, 1930, 1934, 1938||slv|eng,slv,|P||N||||
Grand Carniolian Slovenian Catholic Union of the United States of America Proceedings of the Regular Convention|Joliet, IL|1911, 1914, 1926, 1930, 1934, 1938||slv|slv,|P||N||||
Grand Carniolian Slovenian Catholic Union of the United States of America|Zapisnik Sej Glavnega Odbora K|1924-1926||slv|slv,|P||N||||
Hail Mary|Joliet, IL|1950||slv|eng,|P||N||||
Iskra Buletin Slovenskih Delavcev |Cleveland, OH|1935||slv|slv,eng|P||N|||Spark Bulletin of the Slovenian Workers|
The Jugo-Slav Review |Chicago, IL|1917-1919||slv|eng,hrv,slv,|P||N|||supersedes The Slovenian Review|
Jugoslovansko Republicansko Zdruzenje |Chicago, IL|||slv|eng|P||N|||Yugoslav Republican Society|
Return to Top||||slv||P||N||||
Jugoslav Socialist Federation of America Constitution and By-Laws|Chicago, IL|1912, 1916, 1919, 1924, 1935||slv|eng,|P||N||||
Klub Krog |Cleveland, OH|1951||slv|eng|P||N|||Club Krog|
Koledar Amerikanskega Sloveneca |Tower, MN|1898-1900||slv|slv,eng|P||N|||Calendar of American Slovenian|
Koledar Druzbe Sv. Cirila in Metoda |Ljubljana, Yugoslavia|1913||slv|eng|P||N|||Calendar of the Society of SS. Cyril and Methodius|
Koledar Druzbe Sv. Mohorja |Celovec, Yugoslavia (previously published in Celje and Prevalje, Yugoslavia)|1896-1902, 1904-1917, 1919-1921, 1923-1941, 1947-1968||slv|eng|P||N|||Calendar of the Society of St. Mohor|
