Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
In Review Bulletin |New York, NY|1935-1937||eng||P||N|||American Committee for Protection of Foreign Born|
In Their Own Words|Venice, Italy|1986||eng|eng,|P||N||||
Jerome B. Ingber and Associates Newsletter|Minneapolis, MN|1980-1981||eng|eng,|P||N||||
Intercommunity Arts Newsletter|Washington, DC|1976-1978||eng|eng,|P||N||||
Intergovernmental Committee for Migration Monthly Dispatch|Geneva, Switzerland|1981-1983, 1985-date||eng|eng,|P||N||||
International Institute of Milwaukee Newsletter|Milwaukee, WI|1978-1981||eng|eng,|P||N||||
International Institute of Minnesota Festival of Nations|St|1934, 1936, 1939, 1942, 1947, 1949, 1952, 1955, 1958, 1961, 1964, 1967, 1976||eng|eng,|P||N||||
International Institute of Minnesota Newsletter |St|Nationality News until 1970), St||eng|eng,|P||N|||title varies: Nationality News until 1970|
International Migration |Geneva, Switzerland|1963-1965, 1968-1969, 1972, 1975, 1978, 1982-1987||eng|eng,spa,fre,|P||N|||preceded by Migration|
The International Migration Digest |succeeded in 1966 by International Migration Review), Staten Island, NY|1964-1966||eng|eng,|P||N|||previously titled Emigration Digest|
International Migration Review |Staten Island, NY|1964-date||eng|eng,|P||N|||preceded by International Migration Digest|
International Peasant Union Bulletin|Washington, DC|1951, 1971||eng|eng,|P||N||||
International Rescue Committee Annual Report|New York, NY|1961-1962, 1964-1969, 1971-1975||eng|eng,|P||N||||
The Interpreter |New York, NY|1929-1930||eng|eng,|P||N|||Foreign Language Information Service; titled The Bulletin for 1922|
Interpreter Releases |NY|1924-1997||eng|eng,|P||N|||American Council for Nationalities Service|
Invandrar Rapport |Borås, Sweden|||eng|swe,|P||N|||Migration Report|
Jacob's Well |Binghamton, NY|1986||eng|eng,|P||N|||Orthodox Church in America|
Jim Jam Jems|Bismarck, ND|1918, 1920, 1921||eng|eng,|P||N||||
Journal of American Ethnic History|New Brunswick, NJ|1981-date||eng|eng,|P||N||||
Journal of Baltic Studies |Brooklyn, NY|1970-1981||eng|eng,|P||N|||previously titled Bulletin of Baltic Studies|
The Journal of Ethnic Studies|Bellingham, WA|1973-date||eng|eng,|P||N||||
Journal of Intercultural Studies|Concord, MA|1980||eng|eng,|P||N||||
Journal of Mennonite Studies|Winnipeg, Manitoba, Canada|1983||eng|eng,|P||N||||
Journal of the Polish-Hungarian World Federation|Chicago, IL|1970||eng|eng,pol,hun,|P||N||||
Kaleidoscope Canada |Manpower and Immigration Information Service; Ethnic Kaleidoscope Canada), Ottawa, Ontario, Canada|Focus on Immigration, Manpower and Immigration Information Service; Ethnic Kaleidoscope Canada), Ottawa, Ontario, Canada||eng|eng,fre,|P||N|||title varies: Focus on Immigration|
Lácznik Polsko-Ukraïns'ky Zv'iazkovy |New York/Munich, West Germany|1984||eng|ukr,pol,ger,|P||N|||Polish-Ukrainian Ties|
The Lamp |New York, NY|1944||eng|eng,|P||N|||American Committee for Protection of Foreign Born|
Light of Orthodoxy |New York, NY|1953-1954||eng|eng,|P||N|||United Movement of Orthodox Youth|
The Manitoba Multicultural Resources Centre Bulletin|Winnipeg, Manitoba, Canada|1986-date||eng|eng,|P||N||||
Migration |Geneva, Switzerland|1961-1962||eng|eng,|P||N|||succeeded by International Migration|
Migration Review |Washington, DC|1967-1971||eng|eng,|P||N|||previously titled Immigration Review|
Migration Today |Staten Island, NY|1973-1976||eng|eng,|P||N|||newspaper format before 1976|
Minnesota Genealogist|St|1983-1984||eng|eng,|P||N||||
Monday|New York, NY|1985-1991||eng|eng,|P||N||||
Mosaic |New Brunswick, NJ|1975-1977, 1979-1980||eng|eng,|P||N|||Institute for Intercultural Relations and Ethnic Studies|
Mosaic Church Growth|Atlanta, GA|1977-1979||eng|eng,|P||N||||
Multiculturism |Toronto, Ontario, Canada|1977||eng|eng,|P||N|||Ministry of Culture & Recreation of Ontario|
Multi-Ethnic Heritage Studies Center Newsletter|Vineland, NJ|1981||eng||P||N||||
Multi Ethnic Horizon |Ann Arbor, MI|1975||eng|eng,|P||N|||Ann Arbor Public Schools|
Multi News |Ottawa, Ontario, Canada|1976-1977||eng|eng,fre,|P||N|||Department of the Secretary of State|
National Association of Interdisciplinary Ethnic Studies|La Crosse, WI|1976-1977||eng|eng,|P||N||||
National Confederation of American Ethnic Groups News |Washington, DC|1958-1961||eng|eng,|P||N|||NCAEG|
National Coordinating Assembly on Ethnic Studies Newsletter|Washington, DC|1972-1973||eng|eng,|P||N||||
National Ethnic Studies Assembly Newsletter|Detroit, MI|1974-1975, 1977||eng|eng,|P||N||||
National Ethnic Studies Assembly Newsletter|Washington, DC|1973||eng|eng,|P||N||||
National Fraternal Congress of America Annual Meeting|Chicago, IL|1974, 1976-1977||eng|eng,|P||N||||
National Museum of Man; Canadian Centre for Folk Culture Studies Newsletter. Ottawa|Ontario, Canada|1968-1972||eng|eng,|P||N||||
Nationalities Papers|Charleston, IL|1973-1974, 1977-date||eng|eng,|P||N||||
Nationalities Service Center Annual Report|Philadelphia, PA|1977-1978||eng|eng,|P||N||||
Nationalities Services Center News Bulletin|Cleveland, OH|1959, 1961, 1963||eng|eng,|P||N||||
A New America |Bayville, NY|1975-1977||eng|eng,|P||N|||newsletter of Ethnic Millions Political Action Committee|
New Dimensions |Philadelphia, PA|1982-date||eng|eng,|P||N|||The Balch Institute for Ethnic Studies|
The New Jersey Heritage |Trenton, NJ|||eng|eng,|P||N|||The New Jersey Tercentenary Commission|
New Jersey Mosaic|Jersey City, NJ|1979, 1987||eng|eng,|P||N||||
The New Review|Toronto, Ontario, Canada|1961-1971||eng|eng,|P||N||||
Newcomer|Los Angeles, CA|1965||eng|eng,|P||N||||
Newsbox|Omaha, NE|1974-1975||eng|eng,|P||N||||
Newsletter from behind the Iron Curtain|Stockholm, Sweden|1947-1949, 1971-1972||eng|eng,|P||N||||
Northern Mosaic|Thunder Bay, Ontario, Canada|1975, 1986-1987||eng|eng,|P||N||||
The Novak Report on the New Ethnicity|Washington, DC|||eng|eng,|P||N||||
Ohio Slavic and East European Newsletter|Columbus, OH|1973||eng|eng,|P||N||||
The One Big Union Monthly |Chicago, IL|1937-1938||eng|eng,|P||N|||Industrial Workers of the World|
Oral History of the American Left Newsletter|New York, NY|1978-1979||eng|eng,|P||N||||
Original Works|Victoria, British Columbia, Canada|1969-1971||eng||P||N||||
Orthodox Theological Society in America Bulletin|Annapolis, MD|1975-1979||eng|eng,|P||N||||
Our Life|Württemberg, Germany|1948||eng|ger,|P||N||||
Pennsylvania Ethnic Studies Newsletter|Pittsburgh, PA|1975-1978, 1984-date||eng|eng,|P||N||||
The Persecuted Church|Springville, CA|1975-date||eng|eng,|P||N||||
Polyphony|Toronto, Ontario, Canada|1977-date||eng|eng,|P||N||||
Problems of Communism|Washington, DC|1953||eng|eng,|P||N||||
Quo Vadimus|New York, NY|1980-1981||eng|eng,|P||N||||
Ragusan Research Bulletin|San Carlos, CA|1983-date||eng|eng,|P||N||||
Range History|Gilbert, MN|1976-1981||eng|eng,|P||N||||
Return to Top.||||eng||P||N||||
Range History News |Gilbert, MN|1978, 1981||eng|eng,|P||N|||Iron Range Historical Society|
Refugee Abstracts |Geneva, Switzerland|1982, 1984||eng|eng,|P||N|||International Refugee Integration Resource Center|
Refugees |Geneva, Switzerland|1985-date||eng|eng,|P||N|||Public Information Section of the United Nations High Commissioner for Refugees|
Saskatchewan Multicultural Magazine|Regina, Saskatchewan, Canada|1985-1986||eng|eng,|P||N||||
Scoop|Minneapolis, MN|1976||eng|eng,|P||N||||
The Slavonic Monthly|New York, NY|1941-1946||eng|eng,|P||N||||
Sophia|Newton Centre, MA|1986||eng|eng,|P||N||||
Southeast Minnesota Historical Center News|Winona, MN|1977||eng|eng,|P||N||||
Spectrum |St|1975-date||eng|eng,|P||N|||Immigration History Research Center|
Statistics of Fraternal Benefit Societies|Chicago, IL|1966-1982||eng|eng,|P||N||||
Synaxis|Chilliwhack, British Columbia, Canada|1975-1976||eng|eng,|P||N||||
Texas People|San Antonio, TX|1976-1977||eng|eng,|P||N||||
The Tlingit Herald|Chilliwhack, British Columbia, Canada|1975, 1977||eng|eng,|P||N||||
United Cooperative Farmers Supplement for the Twenty-fifth Anniversary |Fitchburg, MA|1955||eng|eng,|P||N|||supplement to The Cooperative Farmer|
U.S. Bureau of Immigration Annual Report|Washington, DC|1892, 1896-1905, 1907-1909, 1912-1918, 1920-1931||eng|eng,|P||N||||
U.S. Catholic Historical Society News and Notes|Yonkers, NY|1976-1978||eng|eng,|P||N||||
U.S. Commissioner of Naturalization Annual Report|Washington, DC|1923, 1924, 1926-1932||eng|eng,|P||N||||
U.S. Committee for Refugees Issue Papers|Washington, DC|1984-date||eng|eng,|P||N||||
U.S. Department of Justice Immigration and Naturalization Services Annual Report|Washington, DC|1952-1953, 1955-1967, 1972-1974||eng|eng,|P||N||||
U.S. Treasury Department Quarterly Report of the Chief of the Bureau of Statistics relative to Imports|Exports, Immigration and Navigation of the United States|1890-1893||eng|eng,|P||N||||
Upper Midwest Folklife Newsletter|Madison, WI|1978||eng|eng,|P||N||||
The Vigil |Hinsdale, IL|1982, 1984-1986||eng|eng,|P||N|||Diocese of the Midwest Orthodox Church in America|
The Village Interpreter|Moorehead, MN|1982-date||eng|eng,|P||N||||
Viltis: A Folklore Magazine|Denver, CO (previously published in Chicago, IL; Norwalk, CT; and San Diego, CA)|A Folklore Magazine, Denver, CO (previously published in Chicago, IL; Norwalk, CT; and San Diego, CA)||eng|eng,|P||N||||
Voice of the American Slav|New York, NY (previously published in Pittsburgh, PA)|1942, 1944||eng|eng,|P||N||||
Wayne State University Ethnic Studies Newsletter|Detroit, MI|1986-1987||eng|eng,|P||N||||
Wayne State University Folklore Archive Annual Report|Detroit, MI|1969-1970||eng|eng,|P||N||||
World Refugee Survey |U|1981, 1984-1985||eng|eng,|P||N|||American Council for Nationalities Service|
WZAK The Ethnic Voice of Cleveland |Cleveland, OH|1972-1975||eng|eng,|P||N|||WZAK Radio|
Young Life |Nyack, NY|1966||eng|eng,|P||N|||Orthodox Christian Education Commission of the Standing Conference of Orthodox Bishops in the Americas|
Your Diocese Alive |South Canaan, PA|1984||eng|eng,|P||N|||The Diocese of Philadelphia and Eastern Pennsylvania|
Západ |Toronto, Ontario, Canada|1982||eng|cze,slo,|P||N|||The West|
