Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Kanadas Latviesu Ev. Lut. Draudzem un Macitajiem. Apkartraksts |Hamilton, Ontario, Canada|||lav|lav,eng|P||N|||Newsletter for Canadian Latvian Evangelical-Lutheran Churches and Ministers|
Kara Invalids |Memmingen, West Germany|1957-1968, 1970-1983||lav|ger,eng|P||N|||The War Invalid|
Kegums; Rakstu un Parrunu Kopojums Skautu un Gaidu Vadibas Darbam |Grand Haven, MI|1952, 1966, 1971-1972, 1974, 1977, 1980||lav|eng|P||N|||Kegums; Collection of Papers and Discussions for Use by the Leadership of the Boy Scouts and Girl Scouts|
Klets |East Orange, NJ|||lav|lav,eng|P||N|||The Barn; supplement to American Latvian Humanities and Social Science Association Bulletin|
Klivlandes Apvienota Latviesu Ev.-Lut. Draudze; Draudzes Zinas |Cleveland, OH|1963-1973, 1980-1983||lav|lav,eng|P||N|||Cleveland United Latvian Evangelical-Lutheran Church; Church News|
Klivlandes Latviesu Biedriba |Cleveland, OH|1954, 1957-1958, 1961, 1963-1964, 1966, 1968-1969, 1971-1972, 1981-1983||lav|lav,eng|P||N|||Cleveland Latvian Society|
Klivlandes Latviesu Ev.-Lut. Draudze Apkartraksts |Cleveland, OH|1954-1958, 1963||lav|lav,eng|P||N|||Cleveland Latvian Evangelical-Lutheran Church Newsletter; succeeded by Klivlandes Apvienota Latviesu Ev.-Lut. Draudze; Draudzes Zinas|
Kolorado Vestis |Denver, CO|1973-1974||lav|eng|P||N|||Colorado Message|
Kontrapunkts |Kalamazoo, MI|1952-1982||lav|eng|P||N|||Musical Counterpoint|
Krajejs |Brampton, Ontario, Canada|1976-1980||lav|eng,|P||N|||Collector|
Kristiga Balss |South Euclid, OH|1952, 1954-1958, 1960, 1968, 1973-1974, 1980-date||lav|eng|P||N|||Christian Voice|
Kristus Draudzes Vestis |Minneapolis, MN|1972-2003||lav|eng|P||N|||Christ Church Herald|
Krusta Gaisma |Philadelphia, PA|1949-1968||lav|eng|P||N|||In the Light of the Cross|
Labietis; Laikraksts Latvietibai Dievturu Sadraudzes Izdevums |Godholders' Fellowship Publication), Chicago, IL|1955-1983||lav|eng|P||N|||Gentleman; Journal for Lettishness|
Lacplesis |Lancaster, PA|1956, 1966, 1969-1973, 1975-1976, 1978||lav|eng|P||N|||The Bear Slayer|
Laika Menesraksts |Brooklyn, NY|1955-1963||lav|eng|P||N|||Time Monthly; supplement to the newspaper Laiks|
Laikmets |Minneapolis, MN|1952-1956, 1958, 1960, 1962, 1968||lav|eng|P||N|||The Era; previously titled Latvju Sieviete|
Laiks |Esslingen am Neckar, Germany|1946-1949||lav|ger,eng|P||N|||The Time|
Laiku Mijas |Grand Rapids, MI|1980||lav|eng|P||N|||Changing Times|
Lakeview Latviesu Ev.-Lut Draudze Apkartraksts |Lakeview, NJ|1952||lav|lav,eng|P||N|||Lakeview Latvian Evangelical-Lutheran Church Newsletter|
Lankasteras un Apkartnes Latviesu Biedriba Vestis |Lancaster, PA|1956-1957||lav|lav,eng|P||N|||Lancaster and Area Latvian Society Herald|
Lapa |Fischbach, Germany|1946-1948||lav|ger,lav,eng|P||N|||Torch; Latvian Youth Magazine|
Lapa |Kalamazoo, MI|||lav|eng|P||N|||Torch|
LARA's Lapa |Anaheim, CA (Madison, WI)|1974-1975, 1977||lav|eng|P||N|||Sheet of LARA|
Latvian Bulletin|New York, NY|1951-1953||lav|eng,lav,|P||N||||
The Latvian Collector |Albany, NY|1979-1980||lav|eng,lav,|P||N|||Latvian Philatelic Society|
Latvian Foundation|Inc|||lav|lav,|P||N||||
Latvian Information Bulletin|Washington, DC|1938-1946, 1952, 1954-date||lav|eng,lav,|P||N||||
Latvian News Digest|Rockville, MD|1976-date||lav|eng,lav,|P||N||||
Latvian Scout and Guide Global Jamboree Zinas|Tannersville, NY|||lav|eng,lav,|P||N||||
Latvia Today; Informative Literary Publication |Latvia|||lav|eng,lav,|P||N|||Latvian Committee for Cultural Relations with Countrymen Abroad|
Latviesu Agronomu Biedriba ASV Apkartraksts |New York, NY|1954||lav|lav,eng|P||N|||Newsletter of the Association of Latvian Agronomists in the U.S.A.|
Latviesu Akademiskas Zinas |New York, NY|1953-1957, 1960, 1974||lav|lav,eng|P||N|||Latvian Academic Review|
Latviesu Almanachs |London, England, Annual: 1954-1958|1954-1958||lav|lav,eng|P||N|||Latvian Almanac|
Latviesu Apvieniba Minesota Zinas |Minneapolis, MN|1952-1956, 1973||lav|lav,eng|P||N|||Latvian Organization of Minnesota News|
Latviesu Arstu un Zobarstu Apvienibas Apkartraksts |Sedro Woolley, WA (previously published in Pendleton, OR)|1952, 1955-1966, 1968-1969, 1975||lav|lav,eng|P||N|||Latvian Physicians and Dentists Association Newsletter|
Latviesu Balss Austrija |Salzburg, Austria|1945-1947||lav|lav,eng|P||N|||Latvian Voice in Austria|
Latviesu Banku Kalendars |Toronto, Ontario, Canada|1960-1975||lav|lav,eng|P||N|||Latvian Bank Calendar|
Latviesu Biedriba Vasingtonas Stata. Informacija |Seattle, WA|1952-1974||lav|lav,eng|P||N|||Washington State Latvian Society. Information|
Latviesu Biedriba Vasingtonas Stata. Informacijas Biletens |Seattle, WA|||lav|lav,eng|P||N|||Washington State Latvian Society. Information Bulletin|
Latviesu Biedribu Sadarbibas Centra Apkartraksts |Chicago, IL|||lav|lav,eng|P||N|||Latvian Society Collaboration Center Newsletter|
Latviesu Dziesmu Svetki Kanada II |Toronto, Ontario, Canada|||lav|lav,eng|P||N|||Latvian Song Festival in Canada II|
Latviesu Dziesmu Svetki Kanada III |Toronto, Ontario, Canada|||lav|lav,eng|P||N|||Latvian Song Festival in Canada III|
Latviesu Ev. Lut. Draudzu Apvieniba Amerika Parvaldes Apkartraksts |Administrative Newsletter), Washington, DC|1952-1957, 1963, 1965, 1967-1968, 1970-1972||lav|lav,eng|P||N|||Latvian Evangelical-Lutheran Church Association in America|
Latviesu Gada Gramata |Esslingen am Neckar, West Germany|1947-1948, 1950||lav|ger,lav,eng|P||N|||Latvian Yearbook|
Latviesu Inzenieru Biedriba ASV Apkartraksts |Bronx, NY|||lav|lav,eng|P||N|||Latvian Engineers Society in America Newsletter|
Latviesu Jauniesu Biletens Austrumu Piekraste |Washington, DC|||lav|lav,eng|P||N|||East Coast Latvian Youth Bulletin|
Latviesu Kalendars |Augsburg, Germany|1947||lav|ger,lav,eng|P||N|||Latvian Calendar|
Latviesu Kalendars |Copenhagen, Denmark|1971||lav|lav,eng|P||N|||Latvian Calendar|
Latviesu Kara Invalidu Apvieniba |Brooklyn, NY|1959||lav|lav,eng|P||N|||Latvian War Invalids Organization|
Latviesu Koru Apvieniba A.S.V. Apkartraksts |Newsletter), Cleveland, OH|||lav|lav,eng|P||N|||Latvian Choral Association in America|
